Running tabgnn model...
Epoch 00014: reducing learning rate of group 0 to 5.0000e-04.
tabgnn model completed.
Running lightgbm model...
[LightGBM] [Info] Auto-choosing col-wise multi-threading, the overhead of testing was 0.001806 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 11472
[LightGBM] [Info] Number of data points in the train set: 69999, number of used features: 45
[LightGBM] [Info] Start training from score 0.038042
lightgbm model completed.
Running catboost model...
catboost model completed.
Running xgboost model...
xgboost model completed.
Running mlp model...
mlp model completed.
Running tabnet model...
epoch 0  | loss: 2.03734 |  0:00:01s
epoch 47 | loss: 0.00169 |  0:01:23s
epoch 48 | loss: 0.00166 |  0:01:24s
epoch 49 | loss: 0.00163 |  0:01:26s
epoch 50 | loss: 0.0016  |  0:01:28s
epoch 51 | loss: 0.00152 |  0:01:29s
epoch 52 | loss: 0.00155 |  0:01:31s
epoch 53 | loss: 0.00152 |  0:01:33s
epoch 54 | loss: 0.00168 |  0:01:35s
epoch 55 | loss: 0.00173 |  0:01:37s
epoch 56 | loss: 0.00161 |  0:01:39s
epoch 57 | loss: 0.0015  |  0:01:40s
epoch 58 | loss: 0.0014  |  0:01:42s
epoch 59 | loss: 0.00152 |  0:01:44s
epoch 60 | loss: 0.00155 |  0:01:46s
epoch 61 | loss: 0.00153 |  0:01:47s
epoch 62 | loss: 0.00144 |  0:01:49s
epoch 63 | loss: 0.00132 |  0:01:51s
epoch 64 | loss: 0.00139 |  0:01:53s
epoch 65 | loss: 0.00134 |  0:01:55s
epoch 66 | loss: 0.00129 |  0:01:57s
epoch 67 | loss: 0.00135 |  0:01:58s
epoch 68 | loss: 0.00132 |  0:02:00s
epoch 69 | loss: 0.00121 |  0:02:02s
epoch 70 | loss: 0.00124 |  0:02:04s
epoch 71 | loss: 0.00122 |  0:02:05s
epoch 72 | loss: 0.00125 |  0:02:07s
epoch 73 | loss: 0.00126 |  0:02:08s
epoch 74 | loss: 0.00119 |  0:02:09s
epoch 75 | loss: 0.0012  |  0:02:11s
epoch 76 | loss: 0.00119 |  0:02:12s
epoch 77 | loss: 0.00114 |  0:02:14s
epoch 78 | loss: 0.0011  |  0:02:16s
epoch 79 | loss: 0.00115 |  0:02:17s
epoch 80 | loss: 0.00115 |  0:02:18s
epoch 81 | loss: 0.00118 |  0:02:20s
epoch 82 | loss: 0.00115 |  0:02:22s
epoch 83 | loss: 0.00106 |  0:02:24s
epoch 84 | loss: 0.00103 |  0:02:26s
epoch 85 | loss: 0.00106 |  0:02:28s
epoch 86 | loss: 0.00106 |  0:02:30s
epoch 87 | loss: 0.00099 |  0:02:32s
epoch 88 | loss: 0.00106 |  0:02:35s
epoch 89 | loss: 0.00103 |  0:02:36s
epoch 90 | loss: 0.00103 |  0:02:37s
epoch 91 | loss: 0.00104 |  0:02:39s
epoch 92 | loss: 0.00098 |  0:02:40s
epoch 93 | loss: 0.00102 |  0:02:42s
epoch 94 | loss: 0.00104 |  0:02:44s
epoch 95 | loss: 0.00093 |  0:02:46s
epoch 96 | loss: 0.00095 |  0:02:48s
epoch 97 | loss: 0.00097 |  0:02:50s
epoch 98 | loss: 0.001   |  0:02:52s
epoch 99 | loss: 0.001   |  0:02:53s
tabnet model completed.
Running combined model...
Epoch 00014: reducing learning rate of group 0 to 5.0000e-04.
combined model completed.
All jobs completed at Thu Aug  7 20:49:38 CDT 2025
